Var1	Freq
B1	8407
CellCycle1	4934
Endo1	3039
Endo2	12472
Endo3	5630
Endo4	756
Endo5	26066
Endo6	14668
Endo7	6391
Endo8	8859
Endo9	9512
Epi1	3737
F1	16167
F10	621
F11	994
F12	1609
F13	13604
F14	43606
F15	42307
F16	79106
F17	603
F18	12260
F19	6053
F2	2921
F20	32069
F21	10355
F22	6906
F23	21469
F24	86762
F25	18816
F26	10549
F27	27521
F28	4082
F3	17986
F4	12267
F5	30876
F6	11134
F7	13333
F8	13467
F9	12958
L1	1739
L2	6183
L3	6720
L4_CD8	7272
L5	41975
L6	285
L7	3026
M1	2513
M10	6870
M11	754
M12	7537
M13	10135
M2	48406
M3	1899
M4	14696
M5	32871
M6	7489
M7	3363
M8	11917
M9	4806
Neut1	5113
Peri1	16646
Peri2	22513
Peri3	14420
Peri4	2632
Peri5	5921
Peri6	15475
Peri7	2452
Peri8	5327
Peri9	9842
Plasma1	8573
Plasma2	17974
Plasma3	6950
Plasma4	7310
Treg1	5166
TumorEpi1	33886
TumorEpi2	11349
TumorEpi3	7712
TumorEpi4	74445
TumorEpi5	17585
Unclassified_SPP1	5722
Unclassified1	683
Unclassified10	3762
Unclassified11	3086
Unclassified12	1833
Unclassified13	1258
Unclassified2	3722
Unclassified3	16844
Unclassified4	4521
Unclassified5	12302
Unclassified6	8538
Unclassified7	4711
Unclassified8	11119
Unclassified9	4991
